Year;Month;Day;Hour;sol_rad;prcp
2018;1;1;0;0.0;0.0
2018;1;1;1;0.0;0.0
2018;1;1;2;0.0;0.0
2018;1;1;3;0.0;0.0
2018;1;1;4;0.0;0.0
2018;1;1;5;0.0;0.0
2018;1;1;6;28.42;0.0
2018;1;1;7;112.6;0.0
2018;1;1;8;200.15;0.0
2018;1;1;9;286.73;0.0
2018;1;1;10;321.45;0.0
2018;1;1;11;390.88;0.0
2018;1;1;12;407.1;0.0
2018;1;1;13;436.85;0.0
2018;1;1;14;422.15;0.0
2018;1;1;15;372.25;0.0
2018;1;1;16;294.33;0.0
2018;1;1;17;214.1;0.0
2018;1;1;18;112.42;0.0
2018;1;1;19;27.75;0.0
2018;1;1;20;0.0;0.0
2018;1;1;21;0.0;0.0
2018;1;1;22;0.0;0.0
2018;1;1;23;0.0;0.0
2018;1;2;0;0.0;0.0
2018;1;2;1;0.0;0.0
2018;1;2;2;0.0;0.0
2018;1;2;3;0.0;0.0
2018;1;2;4;0.0;0.0
2018;1;2;5;0.0;0.0
2018;1;2;6;35.83;0.0
2018;1;2;7;129.08;0.0
2018;1;2;8;230.98;0.0
2018;1;2;9;324.52;0.0
2018;1;2;10;402.15;0.0
2018;1;2;11;430.98;0.0
2018;1;2;12;483.75;0.0
2018;1;2;13;472.0;0.0
2018;1;2;14;353.92;0.0
2018;1;2;15;296.0;0.0
2018;1;2;16;246.92;0.0
2018;1;2;17;157.17;0.0
2018;1;2;18;81.3;0.0
2018;1;2;19;28.55;0.0
2018;1;2;20;0.0;0.0
2018;1;2;21;0.0;0.0
2018;1;2;22;0.0;0.0
2018;1;2;23;0.0;0.0
2018;1;3;0;0.0;0.0
2018;1;3;1;0.0;0.01
2018;1;3;2;0.0;0.01
2018;1;3;3;0.0;0.01
2018;1;3;4;0.0;0.0
2018;1;3;5;0.0;0.0
2018;1;3;6;32.65;0.0
2018;1;3;7;123.83;0.0
2018;1;3;8;228.2;0.0
2018;1;3;9;321.9;0.0
2018;1;3;10;400.88;0.0
2018;1;3;11;454.73;0.0
2018;1;3;12;489.33;0.0
2018;1;3;13;481.73;0.0
2018;1;3;14;425.55;0.0
2018;1;3;15;389.25;0.0
2018;1;3;16;315.65;0.0
2018;1;3;17;217.0;0.0
2018;1;3;18;117.17;0.0
2018;1;3;19;30.1;0.0
2018;1;3;20;0.0;0.0
2018;1;3;21;0.0;0.0
2018;1;3;22;0.0;0.0
2018;1;3;23;0.0;0.0
2018;1;4;0;0.0;0.0
2018;1;4;1;0.0;0.0
2018;1;4;2;0.0;0.0
2018;1;4;3;0.0;0.0
2018;1;4;4;0.0;0.0
2018;1;4;5;0.0;0.0
2018;1;4;6;32.8;0.0
2018;1;4;7;119.65;0.0
2018;1;4;8;217.17;0.0
2018;1;4;9;275.2;0.0
2018;1;4;10;358.08;0.0
2018;1;4;11;395.92;0.0
2018;1;4;12;472.88;0.0
2018;1;4;13;470.83;0.0
2018;1;4;14;440.67;0.0
2018;1;4;15;385.33;0.0
2018;1;4;16;303.75;0.0
2018;1;4;17;208.6;0.0
2018;1;4;18;109.52;0.0
2018;1;4;19;26.73;0.0
2018;1;4;20;0.0;0.0
2018;1;4;21;0.0;0.0
2018;1;4;22;0.0;0.0
2018;1;4;23;0.0;0.0
2018;1;5;0;0.0;0.0
2018;1;5;1;0.0;0.0
2018;1;5;2;0.0;0.0
2018;1;5;3;0.0;0.0
2018;1;5;4;0.0;0.0
2018;1;5;5;0.0;0.36
2018;1;5;6;14.75;0.82
2018;1;5;7;64.77;0.12
2018;1;5;8;104.55;0.4
2018;1;5;9;94.23;0.01
2018;1;5;10;113.77;0.06
2018;1;5;11;65.48;0.27
2018;1;5;12;65.12;0.35
2018;1;5;13;93.25;1.16
2018;1;5;14;139.25;0.92
